bls_occupation,bls_year,total_employed_thousands,percent_women,women_share,percent_white,percent_black,percent_asian,percent_hispanic_or_latino,source_url
"Brickmasons, blockmasons, and stonemasons",2022,119.0,3.0,0.03,87.0,8.7,1.3,46.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Carpenters,2022,1282.0,3.5,0.035,88.6,5.5,1.9,41.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Carpet, floor, and tile installers and finishers",2022,147.0,7.5,0.075,83.9,7.5,3.2,55.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Cement masons, concrete finishers, and terrazzo workers",2022,70.0,1.0,0.01,87.6,7.6,0.0,52.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Construction laborers,2022,2227.0,4.9,0.049,84.9,8.4,1.9,50.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Construction equipment operators,2022,369.0,1.7,0.017,88.9,5.4,0.7,18.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Drywall installers, ceiling tile installers, and tapers",2022,161.0,2.8,0.027999999999999997,92.8,0.8,2.2,70.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Electricians,2022,918.0,2.2,0.022000000000000002,88.5,7.3,2.0,24.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Insulation workers,2022,52.0,5.9,0.059000000000000004,82.5,15.8,0.0,44.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Painters and paperhangers,2022,644.0,10.5,0.105,89.8,6.8,0.7,59.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Pipelayers,2022,52.0,2.4,0.024,97.0,2.3,0.0,60.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Plumbers, pipefitters, and steamfitters",2022,610.0,1.1,0.011000000000000001,83.3,8.9,2.2,28.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Roofers,2022,208.0,5.0,0.05,87.7,6.9,0.0,66.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Sheet metal workers,2022,131.0,5.1,0.051,85.1,7.0,1.1,21.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Structural iron and steel workers,2022,66.0,1.1,0.011000000000000001,73.3,16.5,0.0,16.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Helpers, construction trades",2022,54.0,5.4,0.054000000000000006,88.5,3.2,1.0,48.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Construction and building inspectors,2022,113.0,11.8,0.11800000000000001,85.0,9.7,4.8,12.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Highway maintenance workers,2022,108.0,3.9,0.039,83.4,12.9,0.0,18.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Other extraction workers,2022,50.0,2.5,0.025,86.1,5.0,0.0,28.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Installation, maintenance, and repair occupations",2022,4853.0,4.2,0.042,85.7,8.5,2.4,21.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"First-line supervisors of mechanics, installers, and repairers",2022,245.0,5.3,0.053,87.6,5.4,2.0,12.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Computer, automated teller, and office machine repairers",2022,177.0,10.4,0.10400000000000001,73.2,16.3,6.3,15.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Radio and telecommunications equipment installers and repairers,2022,112.0,13.8,0.138,82.4,10.7,3.0,26.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Security and fire alarm systems installers,2022,67.0,5.7,0.057,87.3,8.6,3.1,30.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Aircraft mechanics and service technicians,2022,149.0,4.6,0.046,85.5,7.1,6.4,19.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Automotive body and related repairers,2022,151.0,3.7,0.037000000000000005,90.6,3.6,3.5,28.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Automotive service technicians and mechanics,2022,926.0,2.9,0.028999999999999998,84.6,8.6,2.7,28.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Bus and truck mechanics and diesel engine specialists,2022,347.0,1.2,0.012,85.3,7.6,1.8,21.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Heavy vehicle and mobile equipment service technicians and mechanics,2022,224.0,1.2,0.012,92.5,4.2,0.2,17.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Small engine mechanics,2022,51.0,2.2,0.022000000000000002,88.8,7.9,2.0,6.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2022,81.0,4.5,0.045,89.9,5.4,1.7,21.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Heating, air conditioning, and refrigeration mechanics and installers",2022,472.0,2.3,0.023,86.0,10.2,1.6,22.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Industrial and refractory machinery mechanics,2022,401.0,3.1,0.031,86.6,8.9,2.4,17.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
